too much sun exposure can give you skin cancer on your EYEBALL.,relevant,support
"Through sun exposure, eyeballs can develop freckles and even moles, and sometimes these become malignant and turn into ocular melanoma.",relevant,support
Those most at risk are people with fair skin and sunbed users.,irrelevant,neutral
Skin cancer is more common with increasing age and in those with blue/grey eyes.,irrelevant,neutral
Sunlight is essential to many living things.,irrelevant,neutral
But sunlight also has a dangerous side.,irrelevant,neutral
"Over time UV radiation exposure, whether or not associated with sunburn, accelerates skin ageing making it look dry, wrinkled, loose and dull and causing pigment changes commonly known as âage spotsâ.",relevant,support
"It can also cause changes in the skin cells, which may lead to skin cancer.",irrelevant,neutral
Getting too much sun can lead to skin cancer.,relevant,support
"But getting too little sun also can be risky, especially in regions with limited sunshine, a study suggests.",irrelevant,neutral
"Women who avoided the sun were twice as likely to die from any cause, including skin cancer, as those who had the greatest sun exposure, according to a report in the July issue of the Journal of Internal Medicine.",relevant,support
"The sun sheds invisible ultraviolet rays which can be extremely dangerous to the skin and are responsible for sunburn, premature aging and other types of skin damage including cancer.",relevant,support
Agricultural workers top the list of candidates for skin cancer because they are outdoors and are exposed to the sun on a daily basis.,relevant,support
Skin cancer is linked to excessive sun exposure.,relevant,support
"According to the American Cancer Society, 600,000 cases of skin cancer occur every year in the United States and out of the 600,000 cases, an estimated 8,200 end in death.",irrelevant,neutral
Skin cancers are caused by excessive exposure to the sun's ultra-violet rays.,relevant,support
It is important to remember that sunburns are not the only condition that lead to the development of skin cancer.,relevant,support
The risk of skin cancer is higher in places with intense year-round sunshine.,relevant,neutral
"In the United States,  Arizona has the highest incidence of skin cancer.",irrelevant,neutral
"It is important to remember that anyone, regardless of geographic location, can develop skin cancer.",irrelevant,neutral
"By keeping exposure to the sun at a minimum,  skin cancer risks are automatically reduced.",relevant,support
The American Cancer Society recommends that you use a sun screen with a sun protective factor (SPF) of 15 or higher.,relevant,support
Children can also develop skin cancer which may not show up until later in life.,irrelevant,neutral
A blistering sunburn before the age of ten will double the probability of children developing malignant melanoma sometime during their lifetime.,relevant,support
Being exposed to the sun throughout a lifetime can be deadly.,relevant,oppose
"Sun exposure is cumulative; the more sun you are exposed to and the longer you live, the greater your chances of having skin cancer.",relevant,support
Protecting skin from damaging ultra-violet rays is more crucial during childhood than throughout the adult years.,irrelevant,neutral
"Although some people have a natural sun sensitivity, there are a number of medications which increase this.",irrelevant,neutral
"With some medications sunlight exposure can trigger a fine red rash, with others, patients burn more severely or more quickly than normal.",irrelevant,neutral
"Newton also explains that these medications, by themselves, do not increase your chances of developing skin cancer, however, serious sunburns, which can be a result of taking these medications, can increase your chance of developing skin cancer, especially in children.",relevant,support
The only skin cancer which we really need to be concerned with is melanoma.,irrelevant,neutral
The other skin cancers - basal cell and squamous cell carcinomas - can be caught in a relatively early stage and are very rarely fatal.,irrelevant,support
Excessive  sun  can exposure cause skin cancer.,relevant,support
"However, an appropriate amount of sunshine actually prevents cancer.",relevant,support
"Exposure to sunshine provides many health benefits, such as promoting the formation of vitamin D.",irrelevant,neutral
"If we don't get a regular dose of sunshine, our health will suffer in many ways, one of which is depression.""",relevant,neutral
We should not have excessive exposure to the sun as it is dangerous.,irrelevant,oppose
"However, one should be outdoors for 1 hour per day if possible.",relevant,neutral
Sunscreens  can prevent the most common types of skin cancer - squamous cell and basal cell carcinomas.,relevant,support
"But studies have failed to show clear evidence that sunscreens help prevent melanoma, the more rare but deadly type of skin cancer, according to researchers at the Memorial Sloan-Kettering Cancer Center in New York.",relevant,support
It thus appears that getting MODERATE sun exposure is of the utmost importance.,irrelevant,neutral
"There are some researchers who believe that the skin exposure to chlorine which we have today through bathing and swimming in chlorinated pools is the main reason we have an increased incidence of melanoma, although there is no conclusive evidence on this.",relevant,oppose
Most skin cancers are caused by exposure to the sun.,relevant,support
"There are 2 main types of non melanoma skin cancer, basal cell carcinoma (BCC) and squamous cell carcinoma (SCC).",irrelevant,support
A history of sunburn increases the risk of BCC.,irrelevant,neutral
Risk is especially high if you had several episodes of sunburn in childhood.,irrelevant,neutral
This has also been linked to SCC in some studies.,irrelevant,neutral
The risk of SCC is mainly linked to overall sun exposure through your life.,irrelevant,neutral
This is also linked with BCC but to a lesser degree.,irrelevant,neutral
"The link with long term exposure to the sun means that outdoor workers, such as farm workers, gardeners and building site workers, have an increased risk of non melanoma skin cancer.",relevant,support
"Fair skinned people, with light coloured hair and eyes, or those more likely to burn than tan, are more at risk of skin cancer.",irrelevant,neutral
Most skin cancers are caused by exposure to the sun.,relevant,support
"This may be long term exposure, or short periods of intense sun exposure and burning.",irrelevant,neutral
The ultraviolet light in sunlight damages the DNA in the skin cells.,relevant,neutral
This damage can happen years before a cancer develops.,relevant,neutral
The sunâs rays contain 3 types of ultraviolet light.,irrelevant,neutral
UVA makes up most of our natural sun light.,irrelevant,neutral
It goes deeper into the skin and causes skin ageing.,irrelevant,neutral
It is now also linked to skin cancer.,irrelevant,neutral
UVB is most likely to burn the skin and is the main cause of non melanoma skin cancer.,relevant,neutral
UVC is filtered out by the atmosphere of the earth (ozone layer).,irrelevant,neutral
A history of sunburn or recreational exposure to sunlight increases the risk of basal cell carcinoma.,relevant,support
Risk is especially high if you had several episodes of sunburn in childhood.,irrelevant,neutral
It has always been thought that UVB is the main risk for skin cancer.,irrelevant,neutral
Sunbeds produce mostly UVA but all produce some UVB too.,irrelevant,neutral
UVA damages the skin and is now also linked to skin cancer.,relevant,support
"We know the use of sunbeds causes melanoma, and there is now evidence that sunbeds may increase the risk of non melanoma skin cancer.",relevant,support
The evidence is strongest for a link between sunbeds and SCC.,relevant,oppose
"If you have had a non melanoma skin cancer, you have a greater risk of getting another one.",irrelevant,neutral
"According to research, you have about a 10 times higher risk of a second non melanoma skin cancer.",irrelevant,neutral
"If you've had a melanoma, you have a 3 times higher than average risk of getting a non melanoma skin cancer.",irrelevant,neutral
So cover up in the sun and look out for any signs of another skin cancer.,relevant,support
The link between skin cancer and exposure to the sun has been raging for years.,relevant,support
"Skin cancer rates have risen drastically in the past several decades, placing skin cancer as the most common form of cancer in the United States today.",irrelevant,neutral
Approximately 1.1 million Americans were diagnosed with skin cancer in 2007 alone.,irrelevant,neutral
