"Using electronic cigarettes has the same short-term effects on the lungs as smoking conventional tobacco cigarettes, a study finds.",relevant,neutral
Both products triggered sharp reductions in exhaled nitric oxide among 25 volunteers.,irrelevant,neutral
Toxicologists view drops in the gas as a marker of inflammation that signals airway damage.,relevant,oppose
"More studies are examining the risk of electronic cigarettes, according to the Winston-Salem Journal.",relevant,neutral
"About 67 percent of the 128 physicians surveyed indicated e-cigarettes are a helpful aid for smoking cessation, 65 percent believe e-cigs represent a lower risk of cancer than traditional cigarettes, and 35 percent recommended them to their patients.",relevant,oppose
"â€œPhysicians were more likely to recommend e-cigarettes when their patients asked about them, or when the physician believed e-cigarettes were safer than smoking standard cigarettes.â€",relevant,support
"The study by five researchers, two of whom had connection to a FDA tobacco panel, drew upon 81 different global studies.",irrelevant,neutral
"A study in the journal Addiction, published in June, found that the vapor used in e-cigs can contain some of the toxicants present in tobacco smoke, but at levels which are much lower.",relevant,support
R.J. Reynolds Vapor Co. is sponsoring a study to determine what potential risks there are in the vapor smoke emitted from an e-cig compared with a combustible cigarette.,irrelevant,neutral
"""Long-term health effects of e-cigs are unknown, but compared with cigarettes, they are likely to be much less, if at all, harmful to users or bystanders"", the researchers said in the study in Addiction.",relevant,support
"A third study, in the May edition of Journal of American Medicine Association's internal medicine publication, said there is no conclusive evidence that e-cigs can play a role in smoking cessation, particularly in comparison with a nicotine patch.",irrelevant,neutral
"Dr. Gilbert Ross, medical and executive director of The American Council on Science and Health, said ""allowing e-cigs to compete with cigarettes in the marketplace might decrease smoking-related morbidity and mortality.""",relevant,neutral
"Regular cigarettes contain about 4,000 toxic chemicals and have been linked to a wide range of diseases like lung cancer, heart disease and stroke.""",irrelevant,oppose
"Hence, electronic cigarettes were considered safer than the traditional cigarettes as they provide less nicotine than the latter, and do not contain the cancer-causing toxins or produce harmful substances associated with smoking real cigarettes (tar and carbon monoxide).",relevant,support
E-cigarettes are also widely promoted to help people quit smoking.,relevant,neutral
"However, according to a new study presented at the American Society of Cell Biology annual meeting in New Orleans, a prolonged exposure to nicotine, either from a real cigarette or the battery operated device can damage the heart, CNN reported.",relevant,oppose
Exposure to nicotine is widely known to increase blood pressure and heart rate.,irrelevant,oppose
"Apart from that, nicotine exposure has long been linked to atherosclerosis, the accumulation of plaque on the artery walls.",irrelevant,neutral
"However, our data suggest that long-term consumption of nicotine by e-cigarette smoking is likely to increase the risk of developing atherosclerosis by stimulating invasion of vascular smooth muscle cells.",relevant,oppose
Safety and risks associated with the e-cigarettes were always a topic of discussion since it was first launched in the Chinese markets in 2004.,irrelevant,support
"A group of experts attending the E-Cigarette Summit at the Royal Society in London, last month claimed that switching from traditional to electronic cigarettes could help reduce smoking-related deaths across the world.",relevant,neutral
"However, a team of American researchers reported later that e-cigarettes cannot help stop smoking, on the other hand, can turn youngsters into dual smokers, making them smoke more nicotine.",irrelevant,neutral
"Last week, researchers reported that smoking e-cigarettes provides more toxins than real cigarettes.",relevant,neutral
"According to e-cigarette manufacturers, the vapor inhaled from e-cigarettes does not contain tar or many of the toxic chemicals found in real cigarette smoke.",irrelevant,neutral
"The chemical mixture vaporized is typically composed of nicotine, propylene glycol, and other chemicals.",relevant,neutral
